Setup title,"C-V Sweep_light_-6-2_100k_500k_1M"
-5.03,5.36679E-10
-5.04,5.36249E-10
-5.05,5.36332E-10
-5.06,5.35846E-10
-5.07,5.3578E-10
-5.08,5.35225E-10
-5.09,5.35545E-10
-5.1,5.34838E-10
-5.11,5.35187E-10
-5.12,5.34857E-10
-5.13,5.34773E-10
-5.14,5.33963E-10
-5.15,5.34296E-10
-5.16,5.34119E-10
-5.17,5.34191E-10
-5.18,5.33243E-10
-5.19,5.33371E-10
-5.2,5.33199E-10
-5.21,5.3299E-10
-5.22,5.3199E-10
-5.23,5.32533E-10
-5.24,5.3219E-10
-5.25,5.31983E-10
-5.26,5.32284E-10
-5.27,5.3223E-10
-5.28,5.31564E-10
-5.29,5.32325E-10
-5.3,5.30579E-10
-5.31,5.31004E-10
-5.32,5.30162E-10
-5.33,5.30587E-10
-5.34,5.30395E-10
-5.35,5.30505E-10
-5.36,5.30234E-10
-5.37,5.29656E-10
-5.38,5.29435E-10
-5.39,5.29546E-10
-5.4,5.29253E-10
-5.41,5.29078E-10
-5.42,5.28358E-10
-5.43,5.28513E-10
-5.44,5.29047E-10
-5.45,5.28176E-10
-5.46,5.28685E-10
-5.47,5.27805E-10
-5.48,5.27741E-10
-5.49,5.26939E-10
-5.5,5.27328E-10
-5.51,5.26885E-10
-5.52,5.26237E-10
-5.53,5.27004E-10
-5.54,5.26586E-10
-5.55,5.25002E-10
-5.56,5.24917E-10
-5.57,5.23943E-10
-5.58,5.24212E-10
-5.59,5.22501E-10
-5.6,5.22248E-10
-5.61,5.22993E-10
-5.62,5.22947E-10
-5.63,5.2238E-10
-5.64,5.2007E-10
-5.65,5.23134E-10
-5.66,5.21878E-10
-5.67,5.17994E-10
-5.68,5.19673E-10
-5.69,5.15947E-10
-5.7,5.17793E-10
-5.71,5.1653E-10
-5.72,5.20848E-10
-5.73,5.19383E-10
-5.74,5.1672E-10
-5.75,5.17118E-10
-5.76,5.13733E-10
-5.77,5.1286E-10
-5.78,5.15062E-10
-5.79,5.15515E-10
-5.8,5.17262E-10
-5.81,5.11236E-10
-5.82,5.16378E-10
-5.83,5.13621E-10
-5.84,5.14351E-10
-5.85,5.17592E-10
-5.86,5.1799E-10
-5.87,5.19437E-10
-5.88,5.17059E-10
-5.89,5.16023E-10
-5.9,5.1453E-10
-5.91,5.12332E-10
-5.92,5.15107E-10
-5.93,5.17896E-10
-5.94,5.17029E-10
-5.95,5.17367E-10
-5.96,5.17524E-10
-5.97,5.18457E-10
-5.98,5.18364E-10
-5.99,5.17081E-10
-6,5.17036E-10
-6,4.26926E-10
-5.99,4.2689E-10
-5.98,4.27134E-10
-5.97,4.27809E-10
-5.96,4.27755E-10
-5.95,4.28242E-10
-5.94,4.28754E-10
-5.93,4.28753E-10
-5.92,4.29407E-10
-5.91,4.28772E-10
-5.9,4.29688E-10
-5.89,4.30025E-10
-5.88,4.30192E-10
-5.87,4.3072E-10
-5.86,4.30122E-10
-5.85,4.3109E-10
-5.84,4.30827E-10
-5.83,4.30353E-10
-5.82,4.31308E-10
-5.81,4.32279E-10
-5.8,4.31983E-10
-5.79,4.32233E-10
-5.78,4.32284E-10
-5.77,4.33786E-10
-5.76,4.33588E-10
-5.75,4.3284E-10
-5.74,4.33384E-10
-5.73,4.33392E-10
-5.72,4.33658E-10
-5.71,4.34977E-10
-5.7,4.34984E-10
-5.69,4.35858E-10
-5.68,4.35953E-10
-5.67,4.36593E-10
-5.66,4.36397E-10
-5.65,4.37063E-10
-5.64,4.36484E-10
-5.63,4.36776E-10
-5.62,4.37819E-10
-5.61,4.37968E-10
-5.6,4.38067E-10
-5.59,4.38104E-10
-5.58,4.3878E-10
-5.57,4.38854E-10
-5.56,4.3656E-10
-5.55,4.26793E-10
-5.54,4.2755E-10
-5.53,4.33618E-10
-5.52,4.35931E-10
-5.51,4.36887E-10
-5.5,4.36927E-10
-5.49,4.37794E-10
-5.48,4.38183E-10
-5.47,4.36917E-10
-5.46,4.35325E-10
-5.45,4.42655E-10
-5.44,4.41877E-10
-5.43,4.42965E-10
-5.42,4.43085E-10
-5.41,4.42951E-10
-5.4,4.44467E-10
-5.39,4.44053E-10
-5.38,4.4467E-10
-5.37,4.45564E-10
-5.36,4.44525E-10
-5.35,4.44911E-10
-5.34,4.46939E-10
-5.33,4.47068E-10
-5.32,4.46746E-10
-5.31,4.47073E-10
-5.3,4.47235E-10
-5.29,4.47032E-10
-5.28,4.48121E-10
-5.27,4.49306E-10
-5.26,4.49111E-10
-5.25,4.4625E-10
-5.24,4.48076E-10
-5.23,4.48342E-10
-5.22,4.49014E-10
-5.21,4.47563E-10
-5.2,4.48061E-10
-5.19,4.46865E-10
-5.18,4.47715E-10
-5.17,4.47545E-10
-5.16,4.49475E-10
-5.15,4.49948E-10
-5.14,4.50706E-10
-5.13,4.49368E-10
-5.12,4.51748E-10
-5.11,4.53122E-10
-5.1,4.54446E-10
-5.09,4.56152E-10
-5.08,4.56672E-10
-5.07,4.60389E-10
-5.06,4.60404E-10
-5.05,4.60975E-10
-5.04,4.61593E-10
-5.03,4.60304E-10
-5.02,4.62406E-10
-5.01,4.60993E-10
-5,4.60075E-10
-4.99,4.63283E-10
-4.98,4.62466E-10
-4.97,4.64618E-10
-4.96,4.63802E-10
-4.95,4.65218E-10
-4.94,4.64196E-10
-4.93,4.65857E-10
-4.92,4.65652E-10
-4.91,4.67226E-10
-4.9,4.68042E-10
-4.89,4.69219E-10
-4.88,4.68873E-10
-4.87,4.70362E-10
-4.86,4.70946E-10
-4.85,4.71556E-10
-4.84,4.70618E-10
-4.83,4.71406E-10
-4.82,4.71916E-10
-4.81,4.72123E-10
-4.8,4.73419E-10
-4.79,4.73835E-10
-4.78,4.74072E-10
-4.77,4.75386E-10
-4.76,4.75616E-10
-4.75,4.75782E-10
-4.74,4.76033E-10
-4.73,4.76424E-10
-4.72,4.77212E-10
-4.71,4.77615E-10
-4.7,4.7797E-10
-4.69,4.78403E-10
-4.68,4.79031E-10
-4.67,4.78977E-10
-4.66,4.79523E-10
-4.65,4.79721E-10
-4.64,4.80534E-10
-4.63,4.80762E-10
-4.62,4.8122E-10
-4.61,4.81022E-10
-4.6,4.81449E-10
-4.59,4.8144E-10
-4.58,4.82186E-10
-4.57,4.82225E-10
-4.56,4.83145E-10
-4.55,4.83237E-10
-4.54,4.84217E-10
-4.53,4.84469E-10
-4.52,4.84802E-10
-4.51,4.849E-10
-4.5,4.85226E-10
-4.49,4.85393E-10
-4.48,4.85884E-10
-4.47,4.85976E-10
-4.46,4.86278E-10
-4.45,4.86594E-10
-4.44,4.86917E-10
-4.43,4.87141E-10
-4.42,4.87794E-10
-4.41,4.88121E-10
-4.4,4.88627E-10
-4.39,4.8879E-10
-4.38,4.8917E-10
-4.37,4.89544E-10
-4.36,4.89808E-10
-4.35,4.9032E-10
-4.34,4.90819E-10
-4.33,4.90981E-10
-4.32,4.91499E-10
-4.31,4.91674E-10
-4.3,4.92041E-10
-4.29,4.92551E-10
-4.28,4.9308E-10
-4.27,4.93606E-10
-4.26,4.93909E-10
-4.25,4.94021E-10
-4.24,4.94833E-10
-4.23,4.95115E-10
-4.22,4.95608E-10
-4.21,4.96E-10
-4.2,4.96351E-10
-4.19,4.96247E-10
-4.18,4.96957E-10
-4.17,4.97465E-10
-4.16,4.98033E-10
-4.15,4.98362E-10
-4.14,4.98992E-10
-4.13,4.99325E-10
-4.12,4.99905E-10
-4.11,5.00083E-10
-4.1,5.00757E-10
-4.09,5.00927E-10
-4.08,5.01723E-10
-4.07,5.01936E-10
-4.06,5.0251E-10
-4.05,5.02787E-10
-4.04,5.03321E-10
-4.03,5.0382E-10
-4.02,5.04486E-10
-4.01,5.04933E-10
-4,5.05387E-10
-3.99,5.05845E-10
-3.98,5.06224E-10
-3.97,5.0666E-10
-3.96,5.0714E-10
-3.95,5.07687E-10
-3.94,5.0818E-10
-3.93,5.08837E-10
-3.92,5.09144E-10
-3.91,5.09811E-10
-3.9,5.10066E-10
-3.89,5.10844E-10
-3.88,5.11141E-10
-3.87,5.12078E-10
-3.86,5.12253E-10
-3.85,5.13068E-10
-3.84,5.13282E-10
-3.83,5.14339E-10
-3.82,5.14356E-10
-3.81,5.15317E-10
-3.8,5.15576E-10
-3.79,5.16531E-10
-3.78,5.16802E-10
-3.77,5.17811E-10
-3.76,5.18022E-10
-3.75,5.18824E-10
-3.74,5.19091E-10
-3.73,5.1989E-10
-3.72,5.20245E-10
-3.71,5.21014E-10
-3.7,5.21365E-10
-3.69,5.22244E-10
-3.68,5.22668E-10
-3.67,5.23537E-10
-3.66,5.23965E-10
-3.65,5.24602E-10
-3.64,5.2525E-10
-3.63,5.25722E-10
-3.62,5.26536E-10
-3.61,5.2696E-10
-3.6,5.28095E-10
-3.59,5.28196E-10
-3.58,5.29254E-10
-3.57,5.29519E-10
-3.56,5.30552E-10
-3.55,5.30636E-10
-3.54,5.31898E-10
-3.53,5.32031E-10
-3.52,5.33168E-10
-3.51,5.33374E-10
-3.5,5.34605E-10
-3.49,5.34729E-10
-3.48,5.35977E-10
-3.47,5.35942E-10
-3.46,5.37241E-10
-3.45,5.37198E-10
-3.44,5.38706E-10
-3.43,5.38826E-10
-3.42,5.40009E-10
-3.41,5.40393E-10
-3.4,5.41462E-10
-3.39,5.41659E-10
-3.38,5.43061E-10
-3.37,5.43254E-10
-3.36,5.44236E-10
-3.35,5.44703E-10
-3.34,5.45826E-10
-3.33,5.4628E-10
-3.32,5.47155E-10
-3.31,5.47895E-10
-3.3,5.48917E-10
-3.29,5.49487E-10
-3.28,5.50159E-10
-3.27,5.50856E-10
-3.26,5.51617E-10
-3.25,5.52742E-10
-3.24,5.53288E-10
-3.23,5.54339E-10
-3.22,5.54756E-10
-3.21,5.55649E-10
-3.2,5.56165E-10
-3.19,5.57442E-10
-3.18,5.57716E-10
-3.17,5.59185E-10
-3.16,5.59179E-10
-3.15,5.60708E-10
-3.14,5.60865E-10
-3.13,5.62406E-10
-3.12,5.62605E-10
-3.11,5.64092E-10
-3.1,5.64144E-10
-3.09,5.65509E-10
-3.08,5.65753E-10
-3.07,5.67092E-10
-3.06,5.67163E-10
-3.05,5.6853E-10
-3.04,5.68797E-10
-3.03,5.69888E-10
-3.02,5.70346E-10
-3.01,5.71485E-10
-3,5.71933E-10
-2.99,5.73068E-10
-2.98,5.73551E-10
-2.97,5.74394E-10
-2.96,5.7501E-10
-2.95,5.75725E-10
-2.94,5.7659E-10
-2.93,5.76995E-10
-2.92,5.7779E-10
-2.91,5.78082E-10
-2.9,5.79018E-10
-2.89,5.79449E-10
-2.88,5.8028E-10
-2.87,5.80593E-10
-2.86,5.8175E-10
-2.85,5.81825E-10
-2.84,5.82727E-10
-2.83,5.82866E-10
-2.82,5.83824E-10
-2.81,5.83769E-10
-2.8,5.84703E-10
-2.79,5.84694E-10
-2.78,5.85549E-10
-2.77,5.8554E-10
-2.76,5.86356E-10
-2.75,5.86256E-10
-2.74,5.86969E-10
-2.73,5.87027E-10
-2.72,5.87733E-10
-2.71,5.8755E-10
-2.7,5.88375E-10
-2.69,5.88134E-10
-2.68,5.88806E-10
-2.67,5.88605E-10
-2.66,5.893E-10
-2.65,5.89196E-10
-2.64,5.8979E-10
-2.63,5.89888E-10
-2.62,5.90161E-10
-2.61,5.90146E-10
-2.6,5.90594E-10
-2.59,5.90615E-10
-2.58,5.90911E-10
-2.57,5.9096E-10
-2.56,5.91164E-10
-2.55,5.91362E-10
-2.54,5.91422E-10
-2.53,5.91721E-10
-2.52,5.91822E-10
-2.51,5.92044E-10
-2.5,5.92046E-10
-2.49,5.92354E-10
-2.48,5.92378E-10
-2.47,5.92649E-10
-2.46,5.92446E-10
-2.45,5.92971E-10
-2.44,5.92883E-10
-2.43,5.93251E-10
-2.42,5.93212E-10
-2.41,5.93505E-10
-2.4,5.93261E-10
-2.39,5.93787E-10
-2.38,5.93792E-10
-2.37,5.9416E-10
-2.36,5.94037E-10
-2.35,5.9445E-10
-2.34,5.9426E-10
-2.33,5.94723E-10
-2.32,5.94779E-10
-2.31,5.95125E-10
-2.3,5.95208E-10
-2.29,5.95497E-10
-2.28,5.95613E-10
-2.27,5.95801E-10
-2.26,5.96051E-10
-2.25,5.96421E-10
-2.24,5.96567E-10
-2.23,5.96884E-10
-2.22,5.97162E-10
-2.21,5.97493E-10
-2.2,5.97656E-10
-2.19,5.98035E-10
-2.18,5.98271E-10
-2.17,5.98609E-10
-2.16,5.99036E-10
-2.15,5.99335E-10
-2.14,5.99694E-10
-2.13,5.99987E-10
-2.12,6.00504E-10
-2.11,6.0071E-10
-2.1,6.01219E-10
-2.09,6.01451E-10
-2.08,6.02092E-10
-2.07,6.02291E-10
-2.06,6.03057E-10
-2.05,6.03248E-10
-2.04,6.03952E-10
-2.03,6.04183E-10
-2.02,6.04947E-10
-2.01,6.0519E-10
-2,6.0605E-10
-1.99,6.06394E-10
-1.98,6.07258E-10
-1.97,6.07656E-10
-1.96,6.08436E-10
-1.95,6.0887E-10
-1.94,6.09728E-10
-1.93,6.10207E-10
-1.92,6.11109E-10
-1.91,6.11652E-10
-1.9,6.12536E-10
-1.89,6.13107E-10
-1.88,6.13937E-10
-1.87,6.14736E-10
-1.86,6.15678E-10
-1.85,6.1627E-10
-1.84,6.17165E-10
-1.83,6.17907E-10
-1.82,6.18838E-10
-1.81,6.19732E-10
-1.8,6.20692E-10
-1.79,6.21659E-10
-1.78,6.22652E-10
-1.77,6.23496E-10
-1.76,6.24511E-10
-1.75,6.25632E-10
-1.74,6.26397E-10
-1.73,6.27601E-10
-1.72,6.28601E-10
-1.71,6.29834E-10
-1.7,6.30846E-10
-1.69,6.32206E-10
-1.68,6.33102E-10
-1.67,6.34383E-10
-1.66,6.35303E-10
-1.65,6.36648E-10
-1.64,6.37703E-10
-1.63,6.3922E-10
-1.62,6.40143E-10
-1.61,6.41638E-10
-1.6,6.42504E-10
-1.59,6.43903E-10
-1.58,6.4512E-10
-1.57,6.46449E-10
-1.56,6.47566E-10
-1.55,6.49015E-10
-1.54,6.50163E-10
-1.53,6.51645E-10
-1.52,6.52844E-10
-1.51,6.54238E-10
-1.5,6.55463E-10
-1.49,6.57046E-10
-1.48,6.58389E-10
-1.47,6.59794E-10
-1.46,6.61011E-10
-1.45,6.62428E-10
-1.44,6.63869E-10
-1.43,6.6518E-10
-1.42,6.66525E-10
-1.41,6.67948E-10
-1.4,6.69272E-10
-1.39,6.70537E-10
-1.38,6.71985E-10
-1.37,6.73359E-10
-1.36,6.74699E-10
-1.35,6.75984E-10
-1.34,6.77416E-10
-1.33,6.78709E-10
-1.32,6.80122E-10
-1.31,6.81419E-10
-1.3,6.82852E-10
-1.29,6.84254E-10
-1.28,6.85727E-10
-1.27,6.87137E-10
-1.26,6.88496E-10
-1.25,6.89681E-10
-1.24,6.91167E-10
-1.23,6.92484E-10
-1.22,6.93749E-10
-1.21,6.95133E-10
-1.2,6.96557E-10
-1.19,6.97718E-10
-1.18,6.99083E-10
-1.17,7.00219E-10
-1.16,7.0158E-10
-1.15,7.02864E-10
-1.14,7.04144E-10
-1.13,7.05558E-10
-1.12,7.06709E-10
-1.11,7.07909E-10
-1.1,7.0924E-10
-1.09,7.10497E-10
-1.08,7.11649E-10
-1.07,7.12845E-10
-1.06,7.14261E-10
-1.05,7.15595E-10
-1.04,7.16591E-10
-1.03,7.17792E-10
-1.02,7.19105E-10
-1.01,7.20157E-10
-1,7.21482E-10
-0.99,7.22652E-10
-0.98,7.23861E-10
-0.97,7.2493E-10
-0.96,7.26092E-10
-0.95,7.27222E-10
-0.94,7.28274E-10
-0.93,7.29471E-10
-0.92,7.30555E-10
-0.91,7.317E-10
-0.9,7.32765E-10
-0.89,7.33838E-10
-0.88,7.3502E-10
-0.87,7.36054E-10
-0.86,7.37122E-10
-0.85,7.38207E-10
-0.84,7.39413E-10
-0.83,7.40292E-10
-0.82,7.41371E-10
-0.81,7.42336E-10
-0.8,7.43472E-10
-0.79,7.44399E-10
-0.78,7.45503E-10
-0.77,7.46364E-10
-0.76,7.47629E-10
-0.75,7.48487E-10
-0.74,7.49587E-10
-0.73,7.50501E-10
-0.72,7.51427E-10
-0.71,7.52491E-10
-0.7,7.53387E-10
-0.69,7.54245E-10
-0.68,7.55258E-10
-0.67,7.56305E-10
-0.66,7.57179E-10
-0.65,7.58187E-10
-0.64,7.5911E-10
-0.63,7.6013E-10
-0.62,7.61117E-10
-0.61,7.62008E-10
-0.6,7.62788E-10
-0.59,7.63871E-10
-0.58,7.64734E-10
-0.57,7.65758E-10
-0.56,7.66541E-10
-0.55,7.6753E-10
-0.54,7.68329E-10
-0.53,7.69344E-10
-0.52,7.70102E-10
-0.51,7.71185E-10
-0.5,7.71853E-10
-0.49,7.72951E-10
-0.48,7.73685E-10
-0.47,7.74699E-10
-0.46,7.7544E-10
-0.45,7.76434E-10
-0.44,7.77224E-10
-0.43,7.78066E-10
-0.42,7.79032E-10
-0.41,7.79924E-10
-0.4,7.80647E-10
-0.39,7.81556E-10
-0.38,7.82391E-10
-0.37,7.83068E-10
-0.36,7.83947E-10
-0.35,7.84675E-10
-0.34,7.8536E-10
-0.33,7.8622E-10
-0.32,7.87051E-10
-0.31,7.87913E-10
-0.3,7.88503E-10
-0.29,7.89201E-10
-0.28,7.89924E-10
-0.27,7.90457E-10
-0.26,7.91134E-10
-0.25,7.91721E-10
-0.24,7.92506E-10
-0.23,7.92914E-10
-0.22,7.93669E-10
-0.21,7.94001E-10
-0.2,7.94549E-10
-0.19,7.9478E-10
-0.18,7.95334E-10
-0.17,7.95632E-10
-0.16,7.9616E-10
-0.15,7.96373E-10
-0.14,7.96815E-10
-0.13,7.97014E-10
-0.12,7.97267E-10
-0.11,7.97252E-10
-0.1,7.9777E-10
-0.09,7.97621E-10
-0.08,7.97848E-10
-0.07,7.97979E-10
-0.06,7.98079E-10
-0.05,7.98079E-10
-0.04,7.98183E-10
-0.03,7.98121E-10
-0.02,7.9825E-10
-0.01,7.9832E-10
0,7.98426E-10
0.01,7.98249E-10
0.02,7.98429E-10
0.03,7.98372E-10
0.04,7.98454E-10
0.05,7.98437E-10
0.06,7.98331E-10
0.07,7.98429E-10
0.08,7.98463E-10
0.09,7.98584E-10
0.1,7.98573E-10
0.11,7.98522E-10
0.12,7.98335E-10
0.13,7.98507E-10
0.14,7.98471E-10
0.15,7.98511E-10
0.16,7.98413E-10
0.17,7.98404E-10
0.18,7.98514E-10
0.19,7.98575E-10
0.2,7.98436E-10
0.21,7.98607E-10
0.22,7.98505E-10
0.23,7.98525E-10
0.24,7.98207E-10
0.25,7.98432E-10
0.26,7.98362E-10
0.27,7.98576E-10
0.28,7.98368E-10
0.29,7.98372E-10
0.3,7.98372E-10
0.31,7.98553E-10
0.32,7.98293E-10
0.33,7.98553E-10
0.34,7.98312E-10
0.35,7.98547E-10
0.36,7.98348E-10
0.37,7.98466E-10
0.38,7.98417E-10
0.39,7.98434E-10
0.4,7.98419E-10
0.41,7.98483E-10
0.42,7.98448E-10
0.43,7.98526E-10
0.44,7.98478E-10
0.45,7.98533E-10
0.46,7.98415E-10
0.47,7.98546E-10
0.48,7.98367E-10
0.49,7.98463E-10
0.5,7.9847E-10
0.51,7.98475E-10
0.52,7.98477E-10
0.53,7.98478E-10
0.54,7.98579E-10
0.55,7.98412E-10
0.56,7.98554E-10
0.57,7.9845E-10
0.58,7.9858E-10
0.59,7.98474E-10
0.6,7.98434E-10
0.61,7.98529E-10
0.62,7.98562E-10
0.63,7.98567E-10
0.64,7.98597E-10
0.65,7.98382E-10
0.66,7.98661E-10
0.67,7.98469E-10
0.68,7.98596E-10
0.69,7.98486E-10
0.7,7.98693E-10
0.71,7.98585E-10
0.72,7.9872E-10
0.73,7.98571E-10
0.74,7.98733E-10
0.75,7.98794E-10
0.76,7.98779E-10
0.77,7.98678E-10
0.78,7.98815E-10
0.79,7.9868E-10
0.8,7.98754E-10
0.81,7.98725E-10
0.82,7.98765E-10
0.83,7.98917E-10
0.84,7.98822E-10
0.85,7.9877E-10
0.86,7.98927E-10
0.87,7.98847E-10
0.88,7.98848E-10
0.89,7.989E-10
0.9,7.98912E-10
0.91,7.99099E-10
0.92,7.988E-10
0.93,7.98877E-10
0.94,7.98955E-10
0.95,7.99046E-10
0.96,7.98909E-10
0.97,7.99027E-10
0.98,7.98906E-10
0.99,7.9911E-10
1,7.98881E-10
1.01,7.99105E-10
1.02,7.99011E-10
1.03,7.99169E-10
1.04,7.98858E-10
1.05,7.99154E-10
1.06,7.98904E-10
1.07,7.99148E-10
1.08,7.98969E-10
1.09,7.99075E-10
1.1,7.9901E-10
1.11,7.99165E-10
1.12,7.98912E-10
1.13,7.9909E-10
1.14,7.98936E-10
1.15,7.99023E-10
1.16,7.99121E-10
1.17,7.99175E-10
1.18,7.99032E-10
1.19,7.99022E-10
1.2,7.9908E-10
1.21,7.99144E-10
1.22,7.99096E-10
1.23,7.99195E-10
1.24,7.99122E-10
1.25,7.99167E-10
1.26,7.99121E-10
1.27,7.99152E-10
1.28,7.99126E-10
1.29,7.99111E-10
1.3,7.9923E-10
1.31,7.99061E-10
1.32,7.99204E-10
1.33,7.99179E-10
1.34,7.99124E-10
1.35,7.99138E-10
1.36,7.99273E-10
1.37,7.99175E-10
1.38,7.99158E-10
1.39,7.99021E-10
1.4,7.99371E-10
1.41,7.99113E-10
1.42,7.99331E-10
1.43,7.99286E-10
1.44,7.9928E-10
1.45,7.9929E-10
1.46,7.99409E-10
1.47,7.99223E-10
1.48,7.99481E-10
1.49,7.99226E-10
1.5,7.99384E-10
1.51,7.99365E-10
1.52,7.99401E-10
1.53,7.99303E-10
1.54,7.99448E-10
1.55,7.9933E-10
1.56,7.99571E-10
1.57,7.99428E-10
1.58,7.99425E-10
1.59,7.99402E-10
1.6,7.99491E-10
1.61,7.99447E-10
1.62,7.99442E-10
1.63,7.9945E-10
1.64,7.99433E-10
1.65,7.99577E-10
1.66,7.99518E-10
1.67,7.9957E-10
1.68,7.99516E-10
1.69,7.99462E-10
1.7,7.99492E-10
1.71,7.99474E-10
1.72,7.99557E-10
1.73,7.99542E-10
1.74,7.99554E-10
1.75,7.99468E-10
1.76,7.99496E-10
1.77,7.99809E-10
1.78,7.99556E-10
1.79,7.99549E-10
1.8,7.99474E-10
1.81,7.99638E-10
1.82,7.99536E-10
1.83,7.99668E-10
1.84,7.99566E-10
1.85,7.99633E-10
1.86,7.99575E-10
1.87,7.99753E-10
1.88,7.99589E-10
1.89,7.99783E-10
1.9,7.99589E-10
1.91,7.99768E-10
1.92,7.99669E-10
1.93,7.99818E-10
1.94,7.99733E-10
1.95,7.99722E-10
1.96,7.99909E-10
1.97,7.99858E-10
1.98,7.99796E-10
1.99,7.99753E-10
2,7.99807E-10
2,7.99727E-10
1.99,7.99805E-10
1.98,7.99678E-10
1.97,7.99835E-10
1.96,7.99627E-10
1.95,7.99764E-10
1.94,7.99576E-10
1.93,7.9958E-10
1.92,7.99559E-10
1.91,7.99569E-10
1.9,7.99356E-10
1.89,7.99379E-10
1.88,7.99381E-10
1.87,7.99566E-10
1.86,7.99327E-10
1.85,7.99451E-10
1.84,7.99292E-10
1.83,7.99444E-10
1.82,7.9926E-10
1.81,7.99378E-10
1.8,7.99169E-10
1.79,7.99264E-10
1.78,7.99103E-10
1.77,7.99294E-10
1.76,7.99118E-10
1.75,7.99288E-10
1.74,7.98966E-10
1.73,7.99206E-10
1.72,7.9904E-10
1.71,7.98967E-10
1.7,7.98858E-10
1.69,7.98975E-10
1.68,7.99044E-10
1.67,7.98883E-10
1.66,7.98877E-10
1.65,7.9888E-10
1.64,7.98937E-10
1.63,7.9884E-10
1.62,7.9877E-10
1.61,7.98767E-10
1.6,7.98817E-10
1.59,7.98752E-10
1.58,7.98761E-10
1.57,7.98802E-10
1.56,7.98763E-10
1.55,7.98649E-10
1.54,7.98773E-10
1.53,7.98529E-10
1.52,7.98775E-10
1.51,7.98497E-10
1.5,7.98612E-10
1.49,7.98457E-10
1.48,7.9851E-10
1.47,7.98383E-10
1.46,7.98629E-10
1.45,7.98463E-10
1.44,7.98459E-10
1.43,7.98493E-10
1.42,7.98443E-10
1.41,7.98344E-10
1.4,7.98403E-10
1.39,7.98358E-10
1.38,7.9834E-10
1.37,7.98367E-10
1.36,7.98197E-10
1.35,7.98181E-10
1.34,7.98248E-10
1.33,7.9826E-10
1.32,7.98105E-10
1.31,7.98238E-10
1.3,7.98214E-10
1.29,7.98165E-10
1.28,7.98023E-10
1.27,7.9817E-10
1.26,7.98019E-10
1.25,7.9807E-10
1.24,7.97951E-10
1.23,7.97924E-10
1.22,7.97874E-10
1.21,7.97996E-10
1.2,7.97739E-10
1.19,7.97889E-10
1.18,7.97828E-10
1.17,7.97938E-10
1.16,7.97684E-10
1.15,7.97847E-10
1.14,7.97657E-10
1.13,7.97812E-10
1.12,7.97595E-10
1.11,7.97714E-10
1.1,7.97481E-10
1.09,7.9769E-10
1.08,7.97491E-10
1.07,7.97597E-10
1.06,7.97513E-10
1.05,7.97624E-10
1.04,7.97444E-10
1.03,7.97535E-10
1.02,7.97336E-10
1.01,7.97437E-10
1,7.97512E-10
0.99,7.97335E-10
0.98,7.97306E-10
0.97,7.97265E-10
0.96,7.97357E-10
0.95,7.97311E-10
0.94,7.97215E-10
0.93,7.97217E-10
0.92,7.97212E-10
0.91,7.97186E-10
0.9,7.9717E-10
0.89,7.97103E-10
0.88,7.97132E-10
0.87,7.97064E-10
0.86,7.97096E-10
0.85,7.96889E-10
0.84,7.97009E-10
0.83,7.96906E-10
0.82,7.96997E-10
0.81,7.96863E-10
0.8,7.96951E-10
0.79,7.96899E-10
0.78,7.96883E-10
0.77,7.96736E-10
0.76,7.96939E-10
0.75,7.96831E-10
0.74,7.96883E-10
0.73,7.96703E-10
0.72,7.96714E-10
0.71,7.96577E-10
0.7,7.96859E-10
0.69,7.96691E-10
0.68,7.9672E-10
0.67,7.96415E-10
0.66,7.96631E-10
0.65,7.9642E-10
0.64,7.96412E-10
0.63,7.96569E-10
0.62,7.9648E-10
0.61,7.96378E-10
0.6,7.96433E-10
0.59,7.9637E-10
0.58,7.96526E-10
0.57,7.96323E-10
0.56,7.96308E-10
0.55,7.9637E-10
0.54,7.9631E-10
0.53,7.96345E-10
0.52,7.96268E-10
0.51,7.963E-10
0.5,7.96148E-10
0.49,7.96153E-10
0.48,7.96138E-10
0.47,7.96113E-10
0.46,7.9606E-10
0.45,7.96068E-10
0.44,7.96055E-10
0.43,7.96119E-10
0.42,7.95863E-10
0.41,7.95997E-10
0.4,7.95824E-10
0.39,7.95964E-10
0.38,7.95822E-10
0.37,7.95933E-10
0.36,7.95693E-10
0.35,7.95892E-10
0.34,7.9561E-10
0.33,7.9595E-10
0.32,7.9568E-10
0.31,7.95871E-10
0.3,7.95559E-10
0.29,7.95734E-10
0.28,7.95688E-10
0.27,7.95664E-10
0.26,7.95513E-10
0.25,7.9568E-10
0.24,7.95593E-10
0.23,7.95575E-10
0.22,7.95498E-10
0.21,7.95591E-10
0.2,7.95433E-10
0.19,7.95549E-10
0.18,7.95433E-10
0.17,7.95416E-10
0.16,7.95476E-10
0.15,7.95448E-10
0.14,7.9527E-10
0.13,7.95286E-10
0.12,7.95259E-10
0.11,7.95141E-10
0.1,7.95272E-10
0.09,7.95075E-10
0.08,7.95169E-10
0.07,7.94968E-10
0.06,7.95128E-10
0.05,7.94947E-10
0.04,7.9498E-10
0.03,7.94898E-10
0.02,7.9481E-10
0.01,7.94728E-10
0,7.94813E-10
-0.01,7.94668E-10
-0.02,7.9461E-10
-0.03,7.94432E-10
-0.04,7.94563E-10
-0.05,7.94289E-10
-0.06,7.94349E-10
-0.07,7.94112E-10
-0.08,7.94073E-10
