Setup title,"I/V-t Sampling_-3V_1000S__Dark"
242.00064,-6.2E-13
243.00069,-6.1E-13
244.00069,2.4E-13
245.00064,-1E-13
246.00069,2.2E-13
247.00064,-1.2E-13
248.00069,-1.9E-13
249.00064,2E-14
250.00064,3.3E-13
251.00069,-5.4E-13
252.00065,-1E-14
253.00069,-2.7E-13
254.00069,-1.3E-13
255.00069,-4.6E-13
256.00069,3E-14
257.00069,-1.6E-13
258.00064,-2.2E-13
259.00069,-1.8E-13
260.00068,-2.4E-13
261.00068,-1.3E-13
262.00069,-2E-14
263.00064,-1.3E-13
264.00069,1E-14
265.00095,-1.3E-13
266.00226,-4.4E-13
267.00226,-3.5E-13
268.00272,8E-14
269.00226,-1.1E-13
270.0023,-1.4E-13
271.00361,-5.3E-13
272.00365,-5E-14
273.00365,-5.2E-13
274.00361,1E-14
275.00496,-1.9E-13
276.00497,-3.9E-13
277.00496,-2.6E-13
278.00496,-6E-13
279.00501,-3.7E-13
280.00635,-2E-14
281.00635,-3.2E-13
282.00631,5E-14
283.00068,1E-14
284.00069,-1.3E-13
285.00064,-1.81E-12
286.00069,3.6E-13
287.00064,6.7E-13
288.00064,0
289.00069,2E-14
290.00069,-5E-14
291.00069,-3.2E-13
292.00226,-3E-14
293.0023,2E-13
294.00366,-1.5E-13
295.00365,5E-14
296.00501,-5.1E-13
297.00501,-3E-13
298.00632,-2.4E-13
299.00771,-1.7E-13
300.0007,-3.4E-13
301.00064,-3.8E-13
302.00068,-5.7E-13
303.00064,1.6E-13
304.00069,-3.5E-13
305.00226,-5.9E-13
306.00365,-4.9E-13
307.00365,-6E-13
308.00496,-1.03E-12
309.00635,-8E-14
310.00635,-1.3E-13
311.00069,1.1E-13
312.00064,-5.2E-13
313.00069,-3.1E-13
314.00064,-6.3E-13
